frame,object,x,y,w,h
10,dog,648,1600,223,312
10,person,383,531,556,1398
10,person,938,464,525,1496
20,person,395,517,520,1419
20,person,917,476,522,1473
30,dog,270,1664,214,251
30,footwear,605,1692,139,217
30,person,870,388,535,1501
30,person,323,489,496,1448
40,dog,160,1653,292,248
40,person,856,366,541,1548
40,person,299,488,516,1455
40,Jeans,934,1104,363,767
50,dog,110,1626,354,289
50,footwear,481,1837,116,128
50,person,853,370,537,1556
50,person,291,500,511,1445
50,Jeans,934,1115,360,779
60,mammal,26,1590,311,342
60,person,861,391,546,1519
60,person,302,546,502,1401
60,Jeans,936,1121,371,771
70,person,876,364,527,1564
70,person,297,510,492,1460
80,footwear,962,1785,99,145
80,person,880,333,538,1617
80,person,302,466,518,1515
90,footwear,935,1861,118,147
90,person,340,456,502,1550
90,person,868,452,546,1529
90,Jeans,925,1138,393,819
100,footwear,961,1920,121,128
100,person,369,473,479,1580
100,person,845,410,568,1632
100,Jeans,916,1145,400,840
110,footwear,638,1914,106,147
110,footwear,942,1929,128,128
110,person,416,456,489,1625
110,person,839,389,549,1672
